id,substation_id,name,type,longitude,latitude,string,order,distance,subassembly,upstream_cable
S02T5,OSS1,S02T5,turbine,0,0,2,4,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S02T6,OSS1,S02T6,turbine,0,0,2,5,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S03T1,OSS1,S03T1,turbine,0,0,3,0,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S03T2,OSS1,S03T2,turbine,0,0,3,1,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S03T3,OSS1,S03T3,turbine,0,0,3,2,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S03T4,OSS1,S03T4,turbine,0,0,3,3,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S03T5,OSS1,S03T5,turbine,0,0,3,4,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S03T6,OSS1,S03T6,turbine,0,0,3,5,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S04T1,OSS1,S04T1,turbine,0,0,4,0,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S04T2,OSS1,S04T2,turbine,0,0,4,1,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S04T3,OSS1,S04T3,turbine,0,0,4,2,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S04T4,OSS1,S04T4,turbine,0,0,4,3,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S04T5,OSS1,S04T5,turbine,0,0,4,4,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S04T6,OSS1,S04T6,turbine,0,0,4,5,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S05T1,OSS1,S05T1,turbine,0,0,5,0,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S05T2,OSS1,S05T2,turbine,0,0,5,1,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S05T3,OSS1,S05T3,turbine,0,0,5,2,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S05T4,OSS1,S05T4,turbine,0,0,5,3,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S05T5,OSS1,S05T5,turbine,0,0,5,4,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S05T6,OSS1,S05T6,turbine,0,0,5,5,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S06T1,OSS1,S06T1,turbine,0,0,6,0,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S06T2,OSS1,S06T2,turbine,0,0,6,1,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S06T3,OSS1,S06T3,turbine,0,0,6,2,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S06T4,OSS1,S06T4,turbine,0,0,6,3,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S06T5,OSS1,S06T5,turbine,0,0,6,4,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S06T6,OSS1,S06T6,turbine,0,0,6,5,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S07T1,OSS1,S07T1,turbine,0,0,7,0,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S07T2,OSS1,S07T2,turbine,0,0,7,1,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S07T3,OSS1,S07T3,turbine,0,0,7,2,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S07T4,OSS1,S07T4,turbine,0,0,7,3,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S07T5,OSS1,S07T5,turbine,0,0,7,4,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S07T6,OSS1,S07T6,turbine,0,0,7,5,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S08T1,OSS1,S08T1,turbine,0,0,8,0,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S08T2,OSS1,S08T2,turbine,0,0,8,1,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S08T3,OSS1,S08T3,turbine,0,0,8,2,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S08T4,OSS1,S08T4,turbine,0,0,8,3,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S08T5,OSS1,S08T5,turbine,0,0,8,4,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S08T6,OSS1,S08T6,turbine,0,0,8,5,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S09T1,OSS1,S09T1,turbine,0,0,9,0,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S09T2,OSS1,S09T2,turbine,0,0,9,1,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S09T3,OSS1,S09T3,turbine,0,0,9,2,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S09T4,OSS1,S09T4,turbine,0,0,9,3,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S09T5,OSS1,S09T5,turbine,0,0,9,4,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S09T6,OSS1,S09T6,turbine,0,0,9,5,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S10T1,OSS1,S10T1,turbine,0,0,10,0,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S10T2,OSS1,S10T2,turbine,0,0,10,1,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S10T3,OSS1,S10T3,turbine,0,0,10,2,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S10T4,OSS1,S10T4,turbine,0,0,10,3,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S10T5,OSS1,S10T5,turbine,0,0,10,4,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S10T6,OSS1,S10T6,turbine,0,0,10,5,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S11T1,OSS1,S11T1,turbine,0,0,11,0,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S11T2,OSS1,S11T2,turbine,0,0,11,1,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S11T3,OSS1,S11T3,turbine,0,0,11,2,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S11T4,OSS1,S11T4,turbine,0,0,11,3,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S11T5,OSS1,S11T5,turbine,0,0,11,4,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S11T6,OSS1,S11T6,turbine,0,0,11,5,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S12T1,OSS1,S12T1,turbine,0,0,12,0,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S12T2,OSS1,S12T2,turbine,0,0,12,1,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S12T3,OSS1,S12T3,turbine,0,0,12,2,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S12T4,OSS1,S12T4,turbine,0,0,12,3,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S12T5,OSS1,S12T5,turbine,0,0,12,4,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S12T6,OSS1,S12T6,turbine,0,0,12,5,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S13T1,OSS1,S13T1,turbine,0,0,13,0,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S13T2,OSS1,S13T2,turbine,0,0,13,1,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S13T3,OSS1,S13T3,turbine,0,0,13,2,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S13T4,OSS1,S13T4,turbine,0,0,13,3,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S13T5,OSS1,S13T5,turbine,0,0,13,4,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S13T6,OSS1,S13T6,turbine,0,0,13,5,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S14T1,OSS1,S14T1,turbine,0,0,14,0,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S14T2,OSS1,S14T2,turbine,0,0,14,1,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S14T3,OSS1,S14T3,turbine,0,0,14,2,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S14T4,OSS1,S14T4,turbine,0,0,14,3,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S14T5,OSS1,S14T5,turbine,0,0,14,4,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S14T6,OSS1,S14T6,turbine,0,0,14,5,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S15T1,OSS1,S15T1,turbine,0,0,15,0,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S15T2,OSS1,S15T2,turbine,0,0,15,1,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S15T3,OSS1,S15T3,turbine,0,0,15,2,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S15T4,OSS1,S15T4,turbine,0,0,15,3,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S15T5,OSS1,S15T5,turbine,0,0,15,4,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S15T6,OSS1,S15T6,turbine,0,0,15,5,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S16T1,OSS1,S16T1,turbine,0,0,16,0,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S16T2,OSS1,S16T2,turbine,0,0,16,1,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S16T3,OSS1,S16T3,turbine,0,0,16,2,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S16T4,OSS1,S16T4,turbine,0,0,16,3,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
